Menu,Title,URL,Description,MoreInfo,Industry
Positions,Audio Signal Processing Consultant,[Corporate - Development of an anti-spoofing technology using ultrasound](https://onfido.com/press-release/onfido-acquires-eyn-to-provide-innovative-acoustic-based-liveness-detection-amid-record-breaking-global-revenue-growth/),Oct 2021 -> Dec 2021: ONFIDO,,Professional
Positions,Scientific Collaborator,[Research - Using loudspeaker for safety detection](https://www.hesge.ch/hepia/recherche-developpement/projets-recherche/earsens),Jul 2020 -> Sep 2021: HEPIA,,Professional
Positions,Audio Department Manager,[Startup - Development of a luxury headphone](https://www.getunity.com/),Jan 2020 -> Aug 2021: HED,,Professional
Positions,Signal Processing & Acoustics Specialist,[Startup - Development of a luxury headphone](https://www.getunity.com/),May 2016 -> Dec 2019: HED,,Professional
Positions,CEO & Co-Founder,[Startup - Signal processing engineering services](https://www.hidacs.ch),Feb 2016 -> Now: HIDACS,,Professional
Positions,Environmental Acoustics Project Manager,[Engineering services - Building and environmental acoustics](https://www.prona.ch/fr/),Aug 2014 -> Jun 2016: PRONA,,Professional
Positions,Post-doctoral Research Scientist,[Research - Microphone array processing for hearing-impaired people](https://lts2.epfl.ch/research/research-in-acoustics/),Mar 2013 -> Sep 2014: EPFL,,Professional
Positions,Phd Student,[Research - Bimodal sound source tracking applied to road trafic monitoring](https://infoscience.epfl.ch/record/183751?v=pdf),Oct 2008 -> Feb 2013: EPFL,,Professional
Positions,Master Thesis,[Research - Psychoacoustics & Audio Classification](https://www.semanticscholar.org/paper/Cat%C3%A9gorisation-des-Sons-de-Mat%C3%A9riaux-Frapp%C3%A9s-%3A-et-Marmaroli/04354db20232624ff3823327f44c90e9d4976efa),Mar 2009 -> Aug 2009: CNRS,,Professional
Contact,My Linkedin,[linkedin/pmarmaroli](https://www.linkedin.com/in/pmarmaroli),,,Contact
Contact,My Github,[github/pmarmaroli](https://github.com/pmarmaroli),,,Contact
Contact,My Email,[gmail](hmailto:patrick.marmaroli@gmail.com),,Contact
Contact,Patents & Publications,[Google Scholar](https://scholar.google.com/citations?user=Qa_P6n8AAAAJ&hl=en&oi=ao),,,Contact
